Nama Pengguna,Rating,Waktu,Komentar
Tedi Setiawan,5.0,setahun lalu,Sudah lumayan bagus dan aman tertib penjagaan nya bisa bawa anak nonton di stadion
sandy prianto,5.0,setahun lalu,"Stadion GBLA yg ada di bandung timur hari Sabtu Minggu banyak olahraga di sekitaran stadion juga di area jalan di luar banyak pedagang jualan apa saja makanan, pakaian dll"
Ahmad Hidayat,5.0,setahun lalu,"Nonton Persib di bulan biasa, ya biasa tapi nonton Persib di bulan Ramadhan. Lebih beda atmosfer dan suasananya. Kesan pertama, pengalaman pertama nonton di Stadion."
oki prasetiyo,5.0,4 tahun lalu,"lapangannya bagus dan terawat,ruang gantinya juga bersih,toilet juga bersih.suasananya jg enak👍👍👍"
Muh MW,5.0,2 tahun lalu,"Tempat nonton bola, olahraga, dan Jajan"
Alif Putr,1.0,6 bulan lalu,LEBIH BAIK MENCINTAI ALQUR'AN DARI PADA MENCINTAI PEREMPUAN
Rifqi Muhammad Fadholi,3.0,7 tahun lalu,Stadion bagus tapi sayang banyak fasilitas umum yang rusak
Tia Salistia,5.0,4 tahun lalu,"Tempat untuk olah raga, dan banyak juga yg latihan nyetir mobil disini"
Fitria Nurhayati,5.0,7 tahun lalu,walaupun ga suka bola sih ikut2an temen aja hehe yang penting botram pada saat istirahat
Adhee Bhatozai,5.0,Diedit 7 tahun lalu,Luar Biasa 1 Nma Brjuta Cerita
B Mulyana Soediamihardja,5.0,8 tahun lalu,Tempatnya mengasikan buat nonton bola sama keluarga
Anggie Dwi C,5.0,9 bulan lalu,Launching Jersey persib 2025
Ziyan Azka,5.0,10 bulan lalu,"Mantap, suasana adem"
Daffa Ali Fauzan,4.0,2 tahun lalu,"Kapasitas penonton di Stadion GBLA tergolong besar, yakni bisa menampung hingga 38.000 orang. Kursi penonton yang digunakan mengusung sistem single seat dengan penomoran. Artinya, penonton duduk di nomor kursi yang tertera di tiket masuk.  Jika tanpa kursi, Stadion GBLA sebenarnya sanggup menampung hingga 72.000 penonton. Di tribun penonton juga terdapat area VVIP yang diperuntukkan bagi tamu sekelas kepala negara.  Fasilitas lain yang memanjakan penonton di stadion ini antara lain ketersediaan toilet dan ruang ibadah. Ada ratusan toilet yang tersebar di setiap lantai tribun penonton. Begitu juga dengan musala yang bisa diakses oleh penonton pria maupun wanita.  Perbaikan prioritas masih meliputi kualitas rumput agar memenuhi standar FIFA. Kemudian sistem pencahaayaan atau lampu-lampu stadion juga dilakukan pemutakhiran. Fasilitas lain yang tak kalah penting, seperti kenyamanan penonton dan akses turut diperhatikan.  Sayangnya, Indonesia batal menyelenggarakan Piala Dunia U-20. Namun begitu, masih ada kesempatan bagi Stadion GBLA untuk menggelar laga Piala Dunia U-17 yang rencananya akan dihelat di Indonesia."
Dedi Mulyadi,4.0,9 tahun lalu,"Stadion kebanggan kota bandung, tempat pembukaan PON"
Dany Saja,3.0,8 tahun lalu,Stadion besar yang toiletnya sangat kotor dan sebagian besar tidak ada airnya.
Denny Alamsyah,5.0,7 tahun lalu,"Stadion Olah Raga bertaraf Internasional kebanggaan masyarakat Jawa Barat, khususnya Kota Bandung"
Suhendi,5.0,6 bulan lalu,Sekarang tempatnya bersih dan rapih
drilling cally production (Wanchut),5.0,7 tahun lalu,"Sekali2 ke gbla bukan ntn PERSIB, tapi ikut pengajian"
Nandar Umbara (Ndarr),5.0,7 tahun lalu,Stadion paling keren di dunia buat selvie
Iskandar Suryadilaga,5.0,7 tahun lalu,"Salah satu stadion kebanggan warga jabar, view dr pesawahan, mantap."
Epen Supendi,5.0,11 bulan lalu,"Parkir nyaman luas ,bersih, dan banyak varian rasa  ,bumbu meresap ke tulang"
Endang Sri Wahyuni Nasution,5.0,4 tahun lalu,"Enaklah klau untuk Olga lari pagi, sore or naik sepeda"
Jamaludin,5.0,11 bulan lalu,"Gate Biru, parkir mobil luas"
Del 19,3.0,Diedit 2 tahun lalu,"Nonton malem2: dari luar tampak kurang pencahayaan, jadinya stadion kurang menarik. Dari dalam, terutama daerah tangga dan hall: pararoek. Parkiran lumayan semrawut. Toilet minim, kotor=ga usah ditanya. Alhamdulillah, ada musola. Penjagaan cukup ketat: bagus. Tampilan visual ke lapangan dan ke atas stadion: cukup bagus."
waldi tekom,2.0,6 tahun lalu,"Tidak terurus,kotor semoga dpt cepat di perbaiki"
hanif ramdhan,5.0,6 tahun lalu,Oklah cukup terawat
caca yudiana,5.0,Diedit setahun lalu,"Stadion besar sudah keren sekarang, semenjak dikelola oleh PT persib bandung bermartabat stadion ini kaya emol, ada musolah, wc nya bagus, air nya ada, parkir pake system tap, udah gak ada lagi preman ,"
aris nurrobani,5.0,7 tahun lalu,Tempat olahraga dan serba ada...hari minggu datang dan bawa keluarga kesini ...dijamin bahagia lahir batin
Yati Jamilah,4.0,4 tahun lalu,"Enak buat olahraga, skateboard, sepedaan dll"
Eli Setiawan,5.0,8 tahun lalu,"Selain stadion jalak harupat, nonton di GBLA...tp sayang aksesnya masih rada susah"
Edy Kusnanto,4.0,Diedit 3 tahun lalu,"Diluar stadion sarana jalan  luas, sehingga banyak digunakan untuk bermain, belajar naik mobil, belajar naik motor dan sepeda serta olah raga bagi warga sekitar,  Di hari minggu digunakan untuk pasar tumpah pedagang kaki lima yang menjajakan aneka macam barang dagangan dari makanan, minuman sampai pakaian dll.  Di pagi hari suasana masih terasa enak hangat namun disiang dini hari sangat panas karena pepohonan masih belum tinggi, jika nanti pepohonan sudah tinggi mudah mudahan akan sejuk walau di siang hari.  Diharapkan stadiun olah raga ini sering digunakan untuk even even olah raga secara kontinyu supaya dunia olah raga dibandung timur semakin maju dan ramai, roda ekonomi juga berputar di bandung timur.  Penerangan lampu jalan di sekitar stadiun dimalam hari masih kurang."
Dinda Amanda Ainun Nuzul,5.0,7 tahun lalu,"perdana ke Stadion GBLA. Maasyaa Allah, Allohu Akbar. Senang sekali rasanya dipertemukan dengan orang-orang sholih"
Sigit Sugiarto,4.0,2 tahun lalu,"Datang untuk latihan mengemudi mobil, tempat sekitat stadion cukup luas sehingga banyak yang menggunakannya untuk latihan juga. Tapi akses jalan dari Jl.Soekarno hatta, cukup sempit dan kadang ada Bis yang masuk lewat jalur sempit ini sehingga kadang macet. Banyak juga pedagang di beberapa titik di pinggir jalan."
M. FATAH MAULAN MAJID,5.0,5 bulan lalu,Tempat nya bagus dan keren
Linda Winingsih,5.0,setahun lalu,Aku kesini biasanya buat jalan-jalan sore. Ohiya tiap Sabtu atau Minggu pagi selalu rame org yg olahraga dan banyak jajanan jga.
Aqua Penyok,5.0,2 tahun lalu,"Hadir untuk menginspirasi semangat dan kecintaan masyarakat Jawa Barat, terutama bagi para Bobotoh di daerah Bandung Raya, Stadion GBLA (Gelora Bandung Lautan Api) adalah tempat yang membangkitkan gairah sepakbola dan menjadi kebanggaan sejati bagi semua yang mencintai olahraga ini.  Dalam hal fasilitas, stadion ini tak tertandingi. Dengan kapasitas yang besar, stadion ini mampu menampung ribuan penonton yang berkumpul untuk mendukung tim kesayangan mereka. Bangku-bangku yang nyaman dan lapangan yang sempurna menjadi panggung tempat para pahlawan sepakbola beraksi. Pemandangan dari sudut mana pun di stadion ini luar biasa, dan Anda bisa merasakan getaran yang luar biasa saat gol tercipta dan kegembiraan meledak di tengah kerumunan.  Selain itu, stadion ini juga menawarkan fasilitas pendukung yang lengkap. Ada banyak tempat makan dan minum di sekitar stadion, yang membuat pengalaman sebelum dan setelah pertandingan semakin menyenangkan. Anda juga dapat menemukan toko-toko suvenir yang menjual merchandise resmi tim, sehingga Anda dapat membawa pulang kenang-kenangan dari kunjungan Anda ke stadion ini.  Stadion GBLA adalah simbol kecintaan dan kebanggaan masyarakat Jawa Barat terhadap sepakbola. Bagi para Bobotoh dan semua penggemar sepakbola di daerah Bandung Raya dan sekitarnya, ini adalah tempat yang harus dikunjungi. Bersama-sama, kita merayakan semangat olahraga yang mempersatukan kita dan menciptakan kenangan yang tak terlupakan di stadion ini."
Dominicus Bagas,4.0,8 tahun lalu,"Tempat nntn bola paling asik dengam posisi yang dekat dengan stasiun kereta, jalan tol dan jalan utama  Tapi kelemahannya keamanan parkirnya"
Satyo Nugroho,5.0,Diedit 8 tahun lalu,"I love PERSIB , jauh dari Medan dengan sengaja nonton langsung ke Bandung"
Iyan Riyana,5.0,6 tahun lalu,Area sekitar stadion enak buat di pakai jogging ataupun gowes
Ngador with Esa Teguhtri,5.0,2 tahun lalu,Belom sempet masuk ke stadionnya.....tapi sering lewat ke sini ....kalo hari Minggu pagi ada pasar tumpah atau kayak pasar kaget gitu....komplit banget....dan banyak banget yang jualan segala Aya...bisa jalan jalan olahraga pagi sambil belanja belanja manjahh....
aep k_senk72,5.0,5 tahun lalu,"Mantap ,,mulai di buka lagi senam"
Enang Hendar Hendar,5.0,Diedit 5 tahun lalu,Tempat olahraga yang paling asyik rame dan menyenangkan
dii,5.0,2 bulan lalu,Stadion nya bagus rapi
Aldy Irfan,4.0,7 tahun lalu,"Gersang bos kalo siang-siang bawa telor mentah, mateng deh."
AS Muhtadi,4.0,2 tahun lalu,"Stadion ini selain digunakan untuk pertandingan sepakbola digunakan pula untuk event event lain seperti otomotif. Setiap Minggu pagi, banyak masyarakat menggunakan lingkungan stadion ini untuk berolahraga, berjualan dan lain sebagainya. Stadion ini dekat dengan masjid Raya Al Jabbar, Summarecon dan gerbang tol Cileunyi sehingga akses cukup mudah. Bagi yang ingin bermain lewat magrib hingga tengah malam tidak dianjurkan nongkrong di area lingkungan stadion karena faktor keamanan dan keselamatan menjadi taruhan."
Inad Ramdani,5.0,4 tahun lalu,nikmati sensasi menikmati kelapa muda setelah ngeloop gowes di gbla...
Fitri Dewi (Fifi rescuer),4.0,2 tahun lalu,tempatnya luas... menyenangkan jika bisa masuk bersama kelpok rentan (lansia dan Disabilitas) yang di bina RbM Cibiru wetan... Ingin bisa main dan olah raga disana sama pemain Persib Bandung... mimpi
tri MS,3.0,3 tahun lalu,Hanya bermain dijalanan diluar stadion. jalanan yang ramai dengan kendaraan orang yang sedang belajar mengemudi roda empat dan roda dua.  Diluar banyak warung yang menjajakan makanan dan minuman. Hanya saja kurang penataan sehingga tampak padat dan kumuh.  Bila butuh track untuk belajar mengemudi disini cukup bagus. Cuma harus sangat berhati-hati karena semua kendaraan yang sedang digunakan untuk belajar itu menyalakan lampu hazard sehingga sulit untuk mengetahui arah kendaraan itu.
Angga Prawira,3.0,7 tahun lalu,Tempat sangat bagus cuman kekurang mushola untuk shalat dan jalan nya kurang benar
Bias Tv Amatir Video,4.0,Diedit 8 tahun lalu,Menyambut pagelaran Asian Games 2018
Luthfi Rizqi,5.0,2 tahun lalu,"Bagus sih stadionya, sudah mulai tertib bobotoh untuk masuk stadion, 1 aja sih yg jadi PR. Kebersihan toilet kurang dijaga sekali, bingung kalau kebelet ke toilet tp kotor banget, untuk solat jg agak kotor tempat wudhunya dan agak bau pesing, mohon kebersihannya dijaga"
saha,3.0,3 tahun lalu,"Masih kurang oke untuk saat ini.. penghijaunna lokasi nya masih sangat minim Erea ini sangat cocok untuk peningkatan umkm. dan diharapkan semua aktifitas di pusat kota yang berbentuk dadakan / pasar kaget bisa lebih di semarakan disini. sudah tentu keterlibatan berbagai pihak keamanan, kebersihan harus secara optimal. agar jauh dari pungutan liar. bisa diberdayakan jenis karang taruna di semua wilayah ini. mudah mudah siapapun Walkot yang bersinergi dengan Gubernur Jabar bisa lebih peka untuk lebih meningkatkan ekonomi sosial masyarakat Bandung yang harus lebih diutamakan. Amin"
Rais Muhamad Madani,5.0,4 tahun lalu,Kali kali aja main kesini gaesss
Ria Bayu,4.0,8 tahun lalu,Tempat nya strategis..parkir nya luas..bagus untuk sarana olah raga
Thari Prajamusti,5.0,7 tahun lalu,Karena pemandangan nya sangat indah dan cuaca nya sejuk sekali.
Nurul Fadhilah,4.0,3 tahun lalu,"Kalo mau nonton bola jangan tertypu sama parkir masyarakat yg dari jauh banget udah bilang, ""parkir disini, parkir disini"" padahal masih jauh bat sekitar 2kman. Gempor bolak baliknya. Parkiran dalemnya luas kok. Tadi yg pada motong jalan ke sawah juga pada dicegatin pulici"
cucu mustopa,5.0,Diedit setahun lalu,Great stadium&very good kedai Bebek&seafood Mutiara beside stadium.
Billy Rizky Pujanopa,4.0,4 tahun lalu,Sudah lama tidak digunakan sesuai tujuan dibangunnya.
Dian Lucy Ariyanti,4.0,11 bulan lalu,"Cuma lewat tp lg ada match, parkiran luarnya ampe jauh2 bgt"
Linda Yani,3.0,7 tahun lalu,Stadion sudah bagus tapi kurang pemeliharaannya. Byk rumput tinggi di sekelilng
Rafuri Sama,5.0,3 tahun lalu,Baru pertama kali saya lihat stadionnya di pakai. Rame bener!!!
MIDOEN BAR-BAR,5.0,4 bulan lalu,Atmosfer nya sungguh nyaman
ega gathez,4.0,Diedit 3 tahun lalu,Kurang terawat. Semoga bisa dipakai persib tahun depan
Sodikin Dikin,5.0,3 tahun lalu,Kalo msh pagi buat main sepeda enak tempatnya luas
Xxyy,5.0,Diedit setahun lalu,Dekat rumah olah raga sore  (22/9/24)
Ace Wijaya,5.0,8 bulan lalu,jalan-jalan sore oke juga
IndraNH,5.0,setahun lalu,Termasuk ke jajaran Stadion yg terbaik di indonesia.
Akbarsoleh,5.0,4 bulan lalu,pertama kali nonton persib di std ini
Dzaky Kece,4.0,sebulan lalu,Lumayan enak di pake
AP Media,5.0,8 tahun lalu,Stadion yg besar dan megah..
